title,price,star_rating,availability,category
It,£25.01,Three,In stock,Horror
'Salem's Lot,£49.56,Four,In stock,Horror
The Stand,£57.86,Two,In stock,Horror
The Girl with All the Gifts,£49.47,Three,In stock,Horror
House of Leaves,£54.89,One,In stock,Horror
Sapiens: A Brief History of Humankind,£54.23,Five,In stock,History
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,In stock,History
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,In stock,History
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,In stock,History
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,One,In stock,History
Zealot: The Life and Times of Jesus of Nazareth,£24.70,Three,In stock,History
A Distant Mirror: The Calamitous 14th Century,£14.58,Three,In stock,History
1491: New Revelations of the Americas Before Columbus,£21.80,Three,In stock,History
Brilliant Beacons: A History of the American Lighthouse,£11.45,Three,In stock,History
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,Five,In stock,History
A Short History of Nearly Everything,£52.40,Five,In stock,History
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67,Two,In stock,History
Catherine the Great: Portrait of a Woman,£58.55,Four,In stock,History
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,Five,In stock,History
The Hiding Place,£55.91,Four,In stock,History
America's War for the Greater Middle East: A Military History,£51.22,Two,In stock,History
The Guns of August,£14.54,Two,In stock,History
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,Two,In stock,History
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,In stock,Health
"Eat Fat, Get Thin",£54.07,Two,In stock,Health
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,Five,In stock,Health
The Art and Science of Low Carbohydrate Living,£52.98,Five,In stock,Health
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,In stock,Food and Drink
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,In stock,Food and Drink
My Paris Kitchen: Recipes and Stories,£33.37,Two,In stock,Food and Drink
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,In stock,Food and Drink
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,In stock,Food and Drink
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,Five,In stock,Food and Drink
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,Two,In stock,Food and Drink
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,One,In stock,Food and Drink
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,Three,In stock,Food and Drink
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,Three,In stock,Food and Drink
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,One,In stock,Food and Drink
Barefoot Contessa Back to Basics,£28.01,One,In stock,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,Five,In stock,Food and Drink
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,Two,In stock,Food and Drink
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,Five,In stock,Food and Drink
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,One,In stock,Food and Drink
Cravings: Recipes for What You Want to Eat,£20.50,Three,In stock,Food and Drink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,Four,In stock,Food and Drink
32 Yolks,£53.63,Two,In stock,Food and Drink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38,Five,In stock,Food and Drink
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),£46.01,Four,In stock,Food and Drink
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,£28.25,Two,In stock,Food and Drink
The Barefoot Contessa Cookbook,£59.92,Five,In stock,Food and Drink
Better Homes and Gardens New Cook Book,£39.61,Three,In stock,Food and Drink
The Power Greens Cookbook: 140 Delicious Superfood Recipes,£11.05,Five,In stock,Food and Drink
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,£24.91,Five,In stock,Food and Drink
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,£13.66,Two,In stock,Food and Drink
The Smitten Kitchen Cookbook,£23.59,One,In stock,Food and Drink
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",£34.32,Three,In stock,Food and Drink
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,£33.14,Three,In stock,Food and Drink
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,Two,In stock,Religion
You Are What You Love: The Spiritual Power of Habit,£21.87,Four,In stock,Religion
God: The Most Unpleasant Character in All Fiction,£30.03,Five,In stock,Religion
The Book of Mormon,£24.57,Three,In stock,Religion
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",£27.62,One,In stock,Religion
The Bhagavad Gita,£57.49,Three,In stock,Religion
Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42,Four,In stock,Religion
