title,price_gbp,price_inr,rating,in_stock,category
Barefoot Contessa Back to Basics,28.01,2955.06,1,True,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5340.41,5,True,Food and Drink
My Kitchen Year: 136 Recipes That Saved My Life,11.53,1216.42,2,True,Food and Drink
Everyday Italian: 125 Simple and Delicious Recipes,20.1,2120.55,5,True,Food and Drink
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,4090.24,1,True,Food and Drink
Cravings: Recipes for What You Want to Eat,20.5,2162.75,3,True,Food and Drink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,1301.87,4,True,Food and Drink
32 Yolks,53.63,5657.96,2,True,Food and Drink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,1200.59,5,True,Food and Drink
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,4854.05,4,True,Food and Drink
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,2980.38,2,True,Food and Drink
The Barefoot Contessa Cookbook,59.92,6321.56,5,True,Food and Drink
Better Homes and Gardens New Cook Book,39.61,4178.85,3,True,Food and Drink
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,1165.78,5,True,Food and Drink
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,2628.0,5,True,Food and Drink
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,1441.13,2,True,Food and Drink
The Smitten Kitchen Cookbook,23.59,2488.74,1,True,Food and Drink
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,3620.76,3,True,Food and Drink
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,3496.27,3,True,Food and Drink
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,4005.84,2,True,Religion
You Are What You Love: The Spiritual Power of Habit,21.87,2307.29,4,True,Religion
God: The Most Unpleasant Character in All Fiction,30.03,3168.16,5,True,Religion
The Book of Mormon,24.57,2592.14,3,True,Religion
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,2913.91,1,True,Religion
The Bhagavad Gita,57.49,6065.2,3,True,Religion
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,2998.31,4,True,Religion
